"id","location_srs","location_x","location_y","operator","elevation","slope","aspect","region","country","geometry","area","map_class","map_class_label","actively_saved","actively_saved_on_year","actively_saved_on_month","actively_saved_on_day","plot_file","ref_class","ref_class_label","confidence","confidence_label","comments"
"843","EPSG:4326","103.322616013715","13.7546425472167","sereyoudom","15","0.00189502332429111","2.7668588774669","Bântéay Méanchey","Cambodia","points","1.0","Non Forest stable","Non Forest stable","true","2017","9","13","pts_grp_6.csv","Non Forest stable","Non Forest stable","hi","High",""
"326","EPSG:4326","105.150804657624","11.7448551529927","sereyoudom","11","7.72985670556718E-4","3.93421315509294","Kâmpóng Cham","Cambodia","points","1.0","Non Forest stable","Non Forest stable","true","2017","9","13","pts_grp_6.csv","Non Forest stable","Non Forest stable","hi","High",""
"161","EPSG:4326","106.128475477154","13.9072227476246","sereyoudom","107","0.0047754719350213","0.550630753180912","Stœng Trêng","Cambodia","points","1.0","Non Forest stable","Non Forest stable","true","2017","9","13","pts_grp_6.csv","Non Forest stable","Non Forest stable","hi","High",""
"302","EPSG:4326","104.149112736722","11.520078145477","remi_linux","129","0.00300891620900901","5.23129190889156","Kâmpóng Spœ","Cambodia","points","1.0","Degradation","Degradation","true","2017","9","14","pts_grp_6.csv","Degradation","Degradation","hi","High",""
"864","EPSG:4326","105.68715230324","12.8588826894395","chealy","125","0.00631891476377784","5.70461770128177","Kâmpóng Thum","Cambodia","points","1.0","Deforestation crops","Deforestation crops","true","2017","9","13","check_gp3_Dfo_20170913.csv","Non Forest stable","Non Forest stable","hi","High",""
"219","EPSG:4326","103.447199622814","12.9062111676892","sereyoudom","10","1.93680868283402E-4","5.4883564341178","Batdâmbâng","Cambodia","points","1.0","Non Forest stable","Non Forest stable","true","2017","9","13","pts_grp_6.csv","Non Forest stable","Non Forest stable","hi","High",""
"121","EPSG:4326","107.022216839804","13.9180580393205","sereyoudom","288","0.0279357062241257","5.50707595445125","Rôtânôkiri","Cambodia","points","1.0","Deforestation crops","Deforestation crops","true","2017","9","13","pts_grp_6.csv","Deforestation other","Deforestation other","hi","High",""
"124","EPSG:4326","105.12414361397","12.8083342054196","sophyra","31","0.00578861094040476","0.417882714654576","Kâmpóng Thum","Cambodia","points","1.0","Non Forest stable","Non Forest stable","true","2017","9","15","pts_grp_6.csv","Non Forest stable","Non Forest stable","hi","High",""
"815","EPSG:4326","105.685083830913","12.4146109217873","remi_linux","42","0.0182281485055463","5.76886531338178","Kâmpóng Cham","Cambodia","points","1.0","Management","Management","true","2017","9","14","pts_grp_6.csv","Deforestation other","Deforestation other","hi","High",""
"212","EPSG:4326","103.018436682112","12.1678579121146","khidorang","1462","0.176680769513991","0.290503337039387","Pouthisat","Cambodia","points","1.0","Forest stable","Forest stable","true","2017","9","13","check_gp1_FNF_20170913.csv","Forest stable","Forest stable","hi","High",""
"383","EPSG:4326","104.829924281646","14.2817655881204","sereyoudom","92","0.00185280362204836","1.79225062910561","Preah Vihéar","Cambodia","points","1.0","Forest stable","Forest stable","true","2017","9","13","pts_grp_6.csv","Forest stable","Forest stable","hi","High",""
"564","EPSG:4326","105.441556994561","11.7232888095048","sereyoudom","15","3.86475128325467E-4","0.79257519377738","Prey Vêng","Cambodia","points","1.0","Non Forest stable","Non Forest stable","true","2017","9","13","pts_grp_6.csv","Non Forest stable","Non Forest stable","hi","High",""
"284","EPSG:4326","103.210859823864","13.0755011180544","sereyoudom","15","0.00156582155541891","0.919212367449938","Batdâmbâng","Cambodia","points","1.0","Non Forest stable","Non Forest stable","true","2017","9","13","pts_grp_6.csv","Non Forest stable","Non Forest stable","hi","High",""
"327","EPSG:4326","104.68004819741","12.9612360449339","sereyoudom","19","1.93703940767375E-4","0.794945752766957","Kâmpóng Thum","Cambodia","points","1.0","Non Forest stable","Non Forest stable","true","2017","9","13","pts_grp_6.csv","Non Forest stable","Non Forest stable","hi","High",""
"344","EPSG:4326","106.74763952238","13.1698895718461","sereyoudom","214","0.00527400485702081","2.49370391131871","Môndól Kiri","Cambodia","points","1.0","Management","Management","true","2017","9","13","pts_grp_6.csv","Forest stable","Forest stable","hi","High",""
"775","EPSG:4326","106.29597370994","12.137963000435","norin123","62","0.00197819624133255","2.15148728740628","Krâchéh","Cambodia","points","1.0","Enhancement","Enhancement","true","2017","9","14","pts_grp_6.csv","Non Forest stable","Non Forest stable","hi","High",""
"466","EPSG:4326","104.302369621441","13.1602135283147","sereyoudom","17","0.00103637100848564","3.55374131600285","Siemréab","Cambodia","points","1.0","Non Forest stable","Non Forest stable","true","2017","9","13","pts_grp_6.csv","Non Forest stable","Non Forest stable","hi","High",""
"76","EPSG:4326","103.758965379875","13.2657444527071","sereyoudom","8","4.33680868994202E-19","4.71238898038469","Siemréab","Cambodia","points","1.0","Enhancement","Enhancement","true","2017","9","13","pts_grp_6.csv","Deforestation other","Deforestation other","hi","High",""
"259","EPSG:4326","102.377355527747","13.381768429741","sereyoudom","291","0.05793509629662","0.627913977284571","Batdâmbâng","Cambodia","points","1.0","Non Forest stable","Non Forest stable","true","2017","9","13","pts_grp_6.csv","Non Forest stable","Non Forest stable","hi","High",""
"920","EPSG:4326","106.385026546252","14.3537858009784","sereyoudom","123","0.00752110978658337","4.91211327299362","Stœng Trêng","Cambodia","points","1.0","Forest stable","Forest stable","true","2017","9","13","pts_grp_6.csv","Forest stable","Forest stable","hi","High",""
