"class","code","producers_accuracy","weighted_producers_accuracy","users_accuracy","map_pixel_count","strRS_area_estimate","strRS_standard_error","strRS_confidence_interval","number_samples","simRS_weight","simRS_area_estimate","simRS_standard_error","simRS_confidence_interval","simRS_confidence_interval_area"
"Deforestation crops","Deforestation crops",0.38,0.414177994175376,0.404255319148936,2171145368.77132,2119130123.55683,551554844.027639,1081047494.29417,50,0.0551876379690949,10022440822.1842,0.00758629257821073,0.014869133453293,2700333183.24373
"Deforestation other","Deforestation other",0.368421052631579,0.094262376889756,0.362068965517241,985726499.03399,3786250522.89505,910906057.913733,1785375873.51092,57,0.0629139072847682,11425582537.29,0.00806675703397459,0.0158108437865902,2871354021.14216
"Deforestation rubber","Deforestation rubber",0.880952380952381,0.669665156285875,0.596774193548387,486870801.567778,433876433.976853,98095906.149517,192267976.053053,42,0.0463576158940397,8418850290.6347,0.00698536686708988,0.0136913190594962,2486434283.13214
"Degradation","Degradation",0.777777777777778,0.0186117227075864,0.245614035087719,28110427.7446586,370965960.26509,308268834.666246,604206915.945842,18,0.0198675496688742,3608078695.9863,0.00463607484828796,0.0090867067026444,1650206161.14786
"Enhancement","Enhancement",0,0,0,290479489.77648,397735469.362186,295410321.76299,579004230.655461,6,0.00662251655629139,1202692898.6621,0.00269466377076543,0.00528154099070024,959162848.369704
"Forest stable","Forest stable",0.734375,0.917810035805443,0.903846153846154,79205114999.3291,78000060757.9556,1895650992.10602,3715475944.52779,320,0.353200883002208,64143621261.9787,0.0158793053729238,0.0311234385309306,5652222713.96759
"Management","Management",0.56,0.756584766802025,0.482758620689655,2295300886.48568,1464576526.84609,357881147.964611,701447050.010638,25,0.0275938189845475,5011220411.09208,0.0054420892765181,0.0106664949819755,1937106183.03396
"Non Forest stable","Non Forest stable",0.811855670103093,0.940055168863171,0.929203539823009,96143879225.2681,95034031903.1194,1776431271.29268,3481805291.73366,388,0.428256070640177,77774140780.1491,0.0164394940048248,0.0322214082494567,5851621291.86361
