id,YCoordi0te,XCoordi0te,elevation,slope,aspect,region,country,geometry,area,map_class
872,13.49926323,106.8294224,114,0.006143612,3.254610408,Rôtânôkiri,Cambodia,points,1,Deforestation crops
393,13.57608848,102.5696284,48,0,0,Bântéay Méanchey,Cambodia,points,1,Deforestation crops
635,13.63889223,103.8083637,52,0.005011851,4.172235859,Siemréab,Cambodia,points,1,Deforestation crops
808,13.67588234,104.1536401,101,0.002654944,1.092961556,Siemréab,Cambodia,points,1,Deforestation crops
220,13.66880053,104.7256671,105,0.012412459,5.518030487,Preah Vihéar,Cambodia,points,1,Deforestation crops
37,13.79718539,103.5626832,25,0.000609462,2.668861901,Siemréab,Cambodia,points,1,Deforestation crops
767,13.7974661,104.2395239,116,0.002343403,6.104611734,Siemréab,Cambodia,points,1,Deforestation crops
459,13.75614186,105.166418,65,0.002752553,4.07959467,Preah Vihéar,Cambodia,points,1,Deforestation crops
933,13.77293701,105.3313138,74,0.003890951,5.182779043,Preah Vihéar,Cambodia,points,1,Deforestation crops
238,13.80458027,105.0980233,62,0.003767308,4.420180974,Preah Vihéar,Cambodia,points,1,Deforestation crops
707,13.81397108,105.4072913,109,0.007001069,4.16184153,Preah Vihéar,Cambodia,points,1,Deforestation crops
131,13.87166786,103.7598491,62,0.018910138,3.549072248,Siemréab,Cambodia,points,1,Deforestation crops
121,13.91805804,107.0222168,288,0.027935706,5.507075954,Rôtânôkiri,Cambodia,points,1,Deforestation crops
431,14.03714004,104.1778952,93,0.005966671,4.135228962,Siemréab,Cambodia,points,1,Deforestation crops
845,14.17870768,105.1342432,96,0.003184709,3.692758797,Preah Vihéar,Cambodia,points,1,Deforestation crops
498,10.55852096,103.581797,80,0,0,Krong Preah Sihanouk,Cambodia,points,1,Deforestation other
727,10.85765027,104.3154167,50,0.018520633,4.705065196,Kâmpôt,Cambodia,points,1,Deforestation other
169,11.89833617,105.7819984,46,0.008507993,3.889037976,Tbong Khmum,Cambodia,points,1,Deforestation other
369,12.04900851,104.324192,114,0.009922987,0.890739342,Kâmpóng Chh0ng,Cambodia,points,1,Deforestation other
931,12.04938864,105.0606333,19,0.006312983,2.564465387,Kâmpóng Cham,Cambodia,points,1,Deforestation other
627,12.0412725,106.31578,55,0.002076383,2.94119157,Krâchéh,Cambodia,points,1,Deforestation other
296,12.14137343,106.7463531,134,0.009409538,0.102711554,Krâchéh,Cambodia,points,1,Deforestation other
770,12.15624452,105.5895515,14,0.000773578,5.489810719,Tbong Khmum,Cambodia,points,1,Deforestation other
110,12.23133793,105.8464999,17,0.000794448,2.593982874,Krâchéh,Cambodia,points,1,Deforestation other
111,12.37570394,107.0169908,491,0.002252347,5.84008266,Môndól Kiri,Cambodia,points,1,Deforestation other
376,12.54499742,106.6401848,97,0.001663078,5.132480508,Môndól Kiri,Cambodia,points,1,Deforestation other
494,12.57967239,106.2398062,55,0.004297443,5.956123626,Krâchéh,Cambodia,points,1,Deforestation other
875,12.63402919,103.9056081,13,0.000959576,6.138773765,Pouthisat,Cambodia,points,1,Deforestation other
870,12.83103967,104.9261279,20,0.001464859,2.754642016,Kâmpóng Thum,Cambodia,points,1,Deforestation other
510,12.86830631,103.820736,7,0.000581003,3.936354983,Pouthisat,Cambodia,points,1,Deforestation other
682,13.01476009,105.0052105,44,0.00355745,3.71709792,Kâmpóng Thum,Cambodia,points,1,Deforestation other
737,13.05874052,104.6436795,24,0.001498606,3.234027674,Kâmpóng Thum,Cambodia,points,1,Deforestation other
636,13.18244816,102.7433511,39,0.001750996,0.684505278,Batdâmbâng,Cambodia,points,1,Deforestation other
930,13.28929268,103.3737576,9,0.000429873,0.327926386,Batdâmbâng,Cambodia,points,1,Deforestation other
339,13.32592556,103.1918591,9,0.000429881,3.469571495,Batdâmbâng,Cambodia,points,1,Deforestation other
657,13.34583827,104.4457058,38,0.001487382,5.085824508,Siemréab,Cambodia,points,1,Deforestation other
58,13.3624415,104.3332163,46,0.006969615,1.106648559,Siemréab,Cambodia,points,1,Deforestation other
817,13.37062294,106.489418,89,0.002610723,6.123352943,Môndól Kiri,Cambodia,points,1,Deforestation other
479,13.37775638,106.7531534,106,0.003118073,0.671147416,Rôtânôkiri,Cambodia,points,1,Deforestation other
275,13.40819597,104.8358797,65,0.006204157,5.487336903,Preah Vihéar,Cambodia,points,1,Deforestation other
544,13.40049584,105.1670586,46,0.004043031,2.791894539,Preah Vihéar,Cambodia,points,1,Deforestation other
335,13.41278758,106.7515667,112,0.008588372,1.570796327,Rôtânôkiri,Cambodia,points,1,Deforestation other
921,13.39567683,106.7995396,111,0.005196885,5.261653002,Rôtânôkiri,Cambodia,points,1,Deforestation other
334,13.3912638,106.8062744,115,0.00482516,2.759163356,Rôtânôkiri,Cambodia,points,1,Deforestation other
520,13.38697755,106.8658863,101,0.002763997,5.699338628,Rôtânôkiri,Cambodia,points,1,Deforestation other
35,13.42250824,106.9378551,118,0.007315704,6.014878107,Rôtânôkiri,Cambodia,points,1,Deforestation other
207,13.45355117,105.5411055,138,0.010861445,2.399208913,Preah Vihéar,Cambodia,points,1,Deforestation other
254,13.46762807,106.6602399,88,0.001530176,4.623619007,Rôtânôkiri,Cambodia,points,1,Deforestation other
708,13.58380239,104.2051102,308,0.158806348,0.105798191,Siemréab,Cambodia,points,1,Deforestation other
463,13.68604367,105.2142078,54,0.002453282,1.850922414,Preah Vihéar,Cambodia,points,1,Deforestation other
568,13.67397671,106.7093702,134,0.006272948,2.221196682,Rôtânôkiri,Cambodia,points,1,Deforestation other
273,13.77248109,104.4744671,86,0.00412738,0.307334016,Preah Vihéar,Cambodia,points,1,Deforestation other
443,13.83293757,104.6390708,71,0.002601926,2.119245195,Preah Vihéar,Cambodia,points,1,Deforestation other
659,13.83837592,106.0766828,100,0.003098387,3.413672559,Stœng Trêng,Cambodia,points,1,Deforestation other
246,13.92845807,103.224434,44,0.005077049,2.864621682,Bântéay Méanchey,Cambodia,points,1,Deforestation other
813,13.93524511,103.2463855,45,0.004846343,2.93969415,Bântéay Méanchey,Cambodia,points,1,Deforestation other
513,13.93695343,103.441904,25,0.002086931,1.505748219,Otdar Mean Chey,Cambodia,points,1,Deforestation other
399,13.98356027,103.4931338,35,0.002287134,4.472855751,Otdar Mean Chey,Cambodia,points,1,Deforestation other
861,13.97021719,106.8298022,99,0.000994254,2.148089048,Rôtânôkiri,Cambodia,points,1,Deforestation other
507,13.99307939,103.2057894,80,0.006535907,5.981157424,Otdar Mean Chey,Cambodia,points,1,Deforestation other
819,14.03446712,105.7043676,117,0.005986267,1.502761349,Preah Vihéar,Cambodia,points,1,Deforestation other
261,14.03599301,103.53504,36,0.002238818,1.449313073,Otdar Mean Chey,Cambodia,points,1,Deforestation other
179,14.05291701,104.6954496,67,0.005572363,3.692514048,Preah Vihéar,Cambodia,points,1,Deforestation other
186,14.06492453,106.1849338,90,0,0,Stœng Trêng,Cambodia,points,1,Deforestation other
70,14.05016389,106.9444124,110,0.020208134,2.81267256,Rôtânôkiri,Cambodia,points,1,Deforestation other
784,14.07990544,103.2549652,50,0.002371244,0.96175135,Otdar Mean Chey,Cambodia,points,1,Deforestation other
697,14.10246563,103.6092687,44,0.001753305,4.397737881,Otdar Mean Chey,Cambodia,points,1,Deforestation other
740,14.11159284,106.2772633,81,0.003980558,0.551035323,Stœng Trêng,Cambodia,points,1,Deforestation other
854,14.11120412,106.4080741,70,0.002019434,1.842839035,Stœng Trêng,Cambodia,points,1,Deforestation other
73,14.14254773,103.2765144,50,0.003366133,0.97133359,Otdar Mean Chey,Cambodia,points,1,Deforestation other
226,14.21186676,103.0976783,82,0.003752609,2.552486185,Otdar Mean Chey,Cambodia,points,1,Deforestation other
98,14.19340063,103.2578637,57,0.002343401,2.261098069,Otdar Mean Chey,Cambodia,points,1,Deforestation other
655,14.19589433,103.437852,52,0.001651428,2.972458521,Otdar Mean Chey,Cambodia,points,1,Deforestation other
176,14.26721702,106.0333665,131,0,0,0,0,points,1,Deforestation other
619,14.31753763,103.8400321,78,0.005036518,3.224523225,Otdar Mean Chey,Cambodia,points,1,Deforestation other
593,10.76006833,103.745038,21,0.006863256,4.751929586,Krong Preah Sihanouk,Cambodia,points,1,Deforestation rubber
488,10.79356136,103.7218707,24,0.009607593,5.840552038,Kaôh Kong,Cambodia,points,1,Deforestation rubber
748,10.78444365,103.7398089,32,0.005973202,3.671220422,Krong Preah Sihanouk,Cambodia,points,1,Deforestation rubber
620,11.12747068,103.6200546,19,0.001288537,5.957736372,Kaôh Kong,Cambodia,points,1,Deforestation rubber
585,12.08656836,106.64929,127,0.001404479,4.90678641,Krâchéh,Cambodia,points,1,Deforestation rubber
10,12.18251676,106.6059338,123,0.006225239,4.028339511,Krâchéh,Cambodia,points,1,Deforestation rubber
425,12.19176774,106.6181644,128,0.005670408,5.105182019,Krâchéh,Cambodia,points,1,Deforestation rubber
809,12.22622278,103.0927183,282,0.026687753,0.75728341,Pouthisat,Cambodia,points,1,Deforestation rubber
72,12.23396388,106.6243175,128,0.003221645,5.055967794,Krâchéh,Cambodia,points,1,Deforestation rubber
452,12.2219655,106.6853102,131,0.00349672,3.824252136,Krâchéh,Cambodia,points,1,Deforestation rubber
490,12.23828824,106.6929281,134,0.003107295,2.730777747,Krâchéh,Cambodia,points,1,Deforestation rubber
375,12.2356688,106.7278659,138,0.009023221,3.468255388,Krâchéh,Cambodia,points,1,Deforestation rubber
614,12.21967749,106.7454835,144,0.009640113,0.042917441,Krâchéh,Cambodia,points,1,Deforestation rubber
699,12.25903275,106.6815497,142,0.000193435,5.489606202,Krâchéh,Cambodia,points,1,Deforestation rubber
444,12.25435525,106.701974,142,0.00347115,4.829901255,Krâchéh,Cambodia,points,1,Deforestation rubber
438,12.25318395,106.7435804,140,0.00701882,2.237585519,Krâchéh,Cambodia,points,1,Deforestation rubber
850,12.27669933,106.7104906,146,0.002133455,5.580357105,Krâchéh,Cambodia,points,1,Deforestation rubber
403,12.30060404,106.6925441,144,0.010126796,5.277854896,Môndól Kiri,Cambodia,points,1,Deforestation rubber
917,12.30147153,106.7261524,167,0.014734875,2.654617111,Môndól Kiri,Cambodia,points,1,Deforestation rubber
741,12.41132775,106.4041,96,0.006447035,5.055756185,Krâchéh,Cambodia,points,1,Deforestation rubber
810,12.54677319,105.4186435,69,0.006288186,4.45053342,Kâmpóng Thum,Cambodia,points,1,Deforestation rubber
798,12.56293812,105.803526,60,0.012223503,1.459593635,Krâchéh,Cambodia,points,1,Deforestation rubber
45,12.55187846,107.4938483,544,0.017622541,0.516069707,Môndól Kiri,Cambodia,points,1,Deforestation rubber
388,12.63625921,105.3804299,67,0.006126423,3.368948686,Kâmpóng Thum,Cambodia,points,1,Deforestation rubber
836,12.73719232,105.3499258,64,0.00579997,2.111281386,Kâmpóng Thum,Cambodia,points,1,Deforestation rubber
725,12.75774613,105.3292403,78,0.006273022,0.480807019,Kâmpóng Thum,Cambodia,points,1,Deforestation rubber
827,12.80733956,105.813027,66,0.00412588,2.835405666,Krâchéh,Cambodia,points,1,Deforestation rubber
304,12.82997157,106.2730903,90,0.006911713,4.309006584,Krâchéh,Cambodia,points,1,Deforestation rubber
880,12.84113254,106.248333,81,0.004197883,5.255778365,Krâchéh,Cambodia,points,1,Deforestation rubber
652,12.84281705,106.2672917,90,0.007927806,5.291824354,Krâchéh,Cambodia,points,1,Deforestation rubber
314,12.94119009,105.8921433,62,0.001228701,3.254354236,Krâchéh,Cambodia,points,1,Deforestation rubber
664,12.93967661,105.9407282,51,0.004464408,2.433562579,Krâchéh,Cambodia,points,1,Deforestation rubber
355,12.93373531,105.9492749,49,0.005674125,2.84486602,Krâchéh,Cambodia,points,1,Deforestation rubber
893,12.98415671,105.8945586,69,0.000859637,0.327553936,Krâchéh,Cambodia,points,1,Deforestation rubber
519,13.11358148,105.038885,55,0.013462397,4.125010868,Preah Vihéar,Cambodia,points,1,Deforestation rubber
96,13.1342978,105.0937296,98,0.012367755,1.747196405,Preah Vihéar,Cambodia,points,1,Deforestation rubber
515,13.18972385,105.0173801,93,0.014485021,4.533509798,Preah Vihéar,Cambodia,points,1,Deforestation rubber
269,13.18572803,105.2883521,56,0.019647245,4.830022364,Kâmpóng Thum,Cambodia,points,1,Deforestation rubber
213,13.20103752,106.5172392,155,0.014972366,4.001775269,Môndól Kiri,Cambodia,points,1,Deforestation rubber
68,13.21992275,105.0456882,123,0.008141157,3.889443503,Preah Vihéar,Cambodia,points,1,Deforestation rubber
543,13.22716147,105.0764442,86,0.003876198,0.795487005,Preah Vihéar,Cambodia,points,1,Deforestation rubber
605,13.22120104,105.1193794,112,0.009873168,1.377238946,Preah Vihéar,Cambodia,points,1,Deforestation rubber
316,13.20315433,106.5352708,172,0.008033359,3.227842505,Môndól Kiri,Cambodia,points,1,Deforestation rubber
898,13.25006634,105.0039444,108,0.012401495,5.503272441,Preah Vihéar,Cambodia,points,1,Deforestation rubber
108,13.24424698,105.0698598,102,0.008791388,3.299707614,Preah Vihéar,Cambodia,points,1,Deforestation rubber
300,13.25577703,105.0846928,105,0.012607024,3.735965959,Preah Vihéar,Cambodia,points,1,Deforestation rubber
606,13.24066634,105.1181831,112,0.007515635,0.976975224,Preah Vihéar,Cambodia,points,1,Deforestation rubber
467,13.2326792,106.5027829,158,0.003409734,5.078579758,Môndól Kiri,Cambodia,points,1,Deforestation rubber
677,13.2720393,106.3301104,142,0.011517573,2.653695107,Krâchéh,Cambodia,points,1,Deforestation rubber
567,13.25941562,106.3563181,116,0.0154033,3.042574516,Krâchéh,Cambodia,points,1,Deforestation rubber
607,13.36369293,106.2080545,143,0.003915669,4.573365282,Stœng Trêng,Cambodia,points,1,Deforestation rubber
884,13.40430791,106.1800396,176,0.012426688,2.679459563,Stœng Trêng,Cambodia,points,1,Deforestation rubber
531,13.45728091,104.9299584,98,0.009296672,5.91741898,Preah Vihéar,Cambodia,points,1,Deforestation rubber
773,13.46774245,104.9230282,84,0.002359406,4.654861776,Preah Vihéar,Cambodia,points,1,Deforestation rubber
435,13.45189941,107.0990078,136,0.013175064,2.197971036,Rôtânôkiri,Cambodia,points,1,Deforestation rubber
574,13.501532,104.9178703,98,0.004485684,2.475566413,Preah Vihéar,Cambodia,points,1,Deforestation rubber
221,13.65099838,107.4973441,207,0.01150323,4.299848581,Rôtânôkiri,Cambodia,points,1,Deforestation rubber
164,13.70187656,103.8007024,66,0.006486157,4.210560723,Siemréab,Cambodia,points,1,Deforestation rubber
291,13.80643983,105.4743272,122,0.004686785,6.104605489,Preah Vihéar,Cambodia,points,1,Deforestation rubber
432,13.820231,105.486499,115,0.002525799,0.719842961,Preah Vihéar,Cambodia,points,1,Deforestation rubber
15,13.83811526,105.4486043,127,0.002791477,2.134780831,Preah Vihéar,Cambodia,points,1,Deforestation rubber
