"map_code","map_area","map_edited_class","wi","eua","si","wisi","equal","proportional","min","adjprop","adjusted","final"
"Deforestation crops",2171145368.77132,"Deforestation crops",0.0119552099848584,0.7,0.458257569495584,0.00547856547047055,115,11,50,0.0123818524216363,50,50
"Deforestation other",985726499.03399,"Deforestation other",0.00542781126178563,0.7,0.458257569495584,0.00248733559650664,115,4,50,0.00562151213580053,50,50
"Deforestation rubber",486870801.567778,"Deforestation rubber",0.00268090877375617,0.7,0.458257569495584,0.00122854673870089,115,2,50,0.0027765816605949,50,50
"Degradation",28110427.7446586,"Degradation",0.000154787455177065,0.7,0.458257569495584,7.09325229978486e-05,115,0,50,0.000160311314410239,50,50
"Enhancement",290479489.77648,"Enhancement",0.00159949828626059,0.7,0.458257569495584,0.000732982197074132,115,1,50,0.00165657916123783,50,50
"Forest stable",79205114999.3291,"Forest stable",0.436135597050192,0.9,0.3,0.130840679115057,115,401,NA,0.451699853481216,280,280
"Management",2295300886.48568,"Management",0.0126388607925857,0.9,0.3,0.00379165823777572,115,11,50,0.0130899004960686,50,50
"Non Forest stable",96143879225.2681,"Non Forest stable",0.529407326395385,0.9,0.3,0.158822197918615,115,487,NA,0.548300146518784,340,340
