"class","code","producers_accuracy","weighted_producers_accuracy","users_accuracy","map_pixel_count","strRS_area_estimate","strRS_standard_error","strRS_confidence_interval","number_samples","simRS_weight","simRS_area_estimate","simRS_standard_error","simRS_confidence_interval","simRS_confidence_interval_area"
"Deforestation crops","Deforestation crops",0.365853658536585,0.361764946150022,0.319148936170213,2171145368.77132,1915383848.23747,549146172.518826,1076326498.1369,41,0.0452538631346578,8218401474.19102,0.00690569964917705,0.013535171312387,2458076817.35701
"Deforestation other","Deforestation other",0.381818181818182,0.096414825475389,0.362068965517241,985726499.03399,3701722966.65383,907693336.124437,1779078938.8039,55,0.0607064017660044,11024684904.4026,0.00793329909957661,0.0155492662351702,2823849804.14727
"Deforestation rubber","Deforestation rubber",0.902439024390244,0.819083425883485,0.596774193548387,486870801.567778,354728127.546312,57951293.2769588,113584534.822839,41,0.0452538631346578,8218401474.19102,0.00690569964917705,0.013535171312387,2458076817.35701
"Degradation","Degradation",0.6,0.00806219622355241,0.105263157894737,28110427.7446586,367020637.072857,308266749.547785,604202829.113659,10,0.011037527593819,2004488164.43683,0.00347105670279727,0.00680327113748265,1235519128.5932
"Enhancement","Enhancement",0,0,0,290479489.77648,318093997.532616,284609503.121956,557834626.119034,4,0.00441501103752759,801795265.774733,0.00220262704756593,0.00431714901322921,784022873.562207
"Forest stable","Forest stable",0.734177215189873,0.918599641222052,0.892307692307692,79205114999.3291,76938124306.2476,1951277616.63195,3824504128.59863,316,0.34878587196468,63341825996.2039,0.0158335118201576,0.0310336831675089,5635922545.09877
"Management","Management",0.619047619047619,0.751431493463894,0.448275862068966,2295300886.48568,1369290470.98352,357138519.155136,699991497.544066,21,0.0231788079470199,4209425145.31735,0.00499906733124414,0.00979817196923851,1779412968.93825
"Non Forest stable","Non Forest stable",0.753588516746411,0.924411637491478,0.929203539823009,96143879225.2681,96642263343.7029,1851100024.85687,3628156048.71946,418,0.461368653421634,83787605273.4596,0.0165617321034547,0.0324609949227713,5895131819.64564
