"id","YCoordinate","XCoordinate","elevation","slope","aspect","region","country","geometry","area","map_class","group"
"802","11.5773143317789","104.156665382662","101","0.0103375480423604","1.23655444079858","Kâmpóng Spœ","Cambodia","points","1","Degradation",4
"240","11.157125252122","103.405860720827","20","0.0138167295341696","3.79301264352295","Kaôh Kong","Cambodia","points","1","Enhancement",4
"139","11.6518584371722","104.087923041789","100","0.0112104810680687","1.46167756883115","Kâmpóng Spœ","Cambodia","points","1","Non Forest stable",4
"25","14.2147374292984","104.47447932288","91","0.00280655420263921","4.3672306557802","Preah Vihéar","Cambodia","points","1","Non Forest stable",4
"34","10.5973128115263","103.691099070712","92","0.021608759765041","3.34598747022109","Krong Preah Sihanouk","Cambodia","points","1","Non Forest stable",4
"442","12.2173930184505","105.109727489705","13","0.000542621632935616","3.14159265358979","Kâmpóng Thum","Cambodia","points","1","Non Forest stable",4
"10","12.1825167599049","106.605933785557","123","0.0062252388975315","4.02833951139504","Krâchéh","Cambodia","points","1","Deforestation rubber",4
"822","13.0932897654206","103.68851508254","6","0.000193757113011744","0.795214953706791","Batdâmbâng","Cambodia","points","1","Enhancement",4
"922","10.9233464365738","103.357008186875","23","0.0132781826438902","3.27634975855618","Kaôh Kong","Cambodia","points","1","Enhancement",4
"53","14.0895377112849","105.225454794146","112","0.00176898226046542","6.2045703215939","Preah Vihéar","Cambodia","points","1","Non Forest stable",4
"190","13.0287171117892","104.419692719904","12","0.00103628102594386","3.55354265559354","Siemréab","Cambodia","points","1","Non Forest stable",4
"716","13.8765478344372","105.170129202458","108","0.0121371901263401","3.24469327962495","Preah Vihéar","Cambodia","points","1","Forest stable",4
"588","12.6861292201597","107.413485425866","323","0.00761276337172331","5.85272916101193","Môndól Kiri","Cambodia","points","1","Forest stable",4
"672","12.9658180325989","107.07516923484","167","0.00641784748174256","1.03876354601624","Môndól Kiri","Cambodia","points","1","Forest stable",4
"707","13.8139710841484","105.407291262087","109","0.00700106943838555","4.16184152996077","Preah Vihéar","Cambodia","points","1","Deforestation crops",4
"829","11.4231274407727","103.548118770493","174","0.0145199671483185","3.11318802029296","Kaôh Kong","Cambodia","points","1","Forest stable",4
"808","13.6758823395613","104.153640089571","101","0.00265494375900886","1.09296155592459","Siemréab","Cambodia","points","1","Deforestation crops",4
"849","13.7048967540497","106.078927382946","85","0.007437954371283","3.78096724855705","Stœng Trêng","Cambodia","points","1","Management",4
"3","13.7762397266615","105.146449393422","66","0.00450939533147213","2.69628712172537","Preah Vihéar","Cambodia","points","1","Non Forest stable",4
"251","14.0698640036964","106.687698201714","120","0.0123132243830632","4.46758838142515","Stœng Trêng","Cambodia","points","1","Forest stable",4
"656","12.173384974045","106.009968142351","25","0.00468611734179381","3.59856466937398","Krâchéh","Cambodia","points","1","Non Forest stable",4
"147","12.8613511118272","107.310902064062","214","0.00533519662607045","0.575230705855204","Môndól Kiri","Cambodia","points","1","Forest stable",4
