"id","YCoordinate","XCoordinate","elevation","slope","aspect","region","country","geometry","area","map_class","group"
"207","13.4535511670726","105.541105484508","138","0.0108614452316144","2.39920891300923","Preah Vihéar","Cambodia","points","1","Deforestation other",5
"396","11.9972914980567","104.685434379679","24","0.00234616850146768","2.51405931424712","Kâmpóng Chhnang","Cambodia","points","1","Non Forest stable",5
"199","13.0259956639005","103.627356413123","6","0.000704719525764507","1.76450099185912","Batdâmbâng","Cambodia","points","1","Enhancement",5
"659","13.8383759156208","106.076682807158","100","0.00309838687202326","3.41367255910609","Stœng Trêng","Cambodia","points","1","Deforestation other",5
"869","12.5149521930181","106.669720505944","107","0.0025784072771225","5.9562023923688","Môndól Kiri","Cambodia","points","1","Forest stable",5
"97","11.5828723088776","104.127246245022","129","0.0149190074665455","0.857100083586753","Kâmpóng Spœ","Cambodia","points","1","Degradation",5
"118","13.0856262350527","106.122496960769","49","0.0040237938544815","5.78101793218518","Krâchéh","Cambodia","points","1","Forest stable",5
"426","12.8269103824356","103.832313761503","8","0.000580954062590488","2.34691325384749","Pouthisat","Cambodia","points","1","Forest stable",5
"619","14.3175376266519","103.84003214622","78","0.00503651750669261","3.22452322545743","Otdar Mean Chey","Cambodia","points","1","Deforestation other",5
"514","11.0549696790699","104.358106398222","152","0.101350548079534","0.673472859921589","Kâmpôt","Cambodia","points","1","Forest stable",5
"810","12.5467731873279","105.418643548367","69","0.00628818646484415","4.45053341983839","Kâmpóng Thum","Cambodia","points","1","Deforestation rubber",5
"103","11.7802850948315","106.137372689917","54","0.00932020658525026","2.91821793891656","Tbong Khmum","Cambodia","points","1","Non Forest stable",5
"2","14.1221568308389","105.12827309115","86","0.0034210140687665","4.34746236885037","Preah Vihéar","Cambodia","points","1","Forest stable",5
"171","12.6667366603677","106.099505225585","47","0.0040653620502512","3.9359594541024","Krâchéh","Cambodia","points","1","Forest stable",5
"704","13.501462068398","104.27884224741","71","0.00380258513028367","1.39146489226651","Siemréab","Cambodia","points","1","Non Forest stable",5
"793","12.1988406850339","106.963459989894","190","0.0198241874741727","5.28344430869824","Môndól Kiri","Cambodia","points","1","Forest stable",5
"162","11.0426123942638","103.155519043843","81","0.0593900379304982","2.33721998767641","Kaôh Kong","Cambodia","points","1","Forest stable",5
"574","13.5015320043964","104.917870274985","98","0.00448568361255189","2.47556641261007","Preah Vihéar","Cambodia","points","1","Deforestation rubber",5
"611","13.8594431468108","107.147962509975","205","0.0101713827452976","1.75860966498164","Rôtânôkiri","Cambodia","points","1","Deforestation rubber",5
"712","11.7188761143609","105.38718407577","12","0.000386475128325468","3.93416784736718","Prey Vêng","Cambodia","points","1","Non Forest stable",5
"816","13.681372376617","103.942397224628","107","0.068127374851507","4.42618441852521","Siemréab","Cambodia","points","1","Non Forest stable",5
"275","13.4081959656809","104.835879667669","65","0.00620415734353132","5.48733690251609","Preah Vihéar","Cambodia","points","1","Deforestation other",5
"761","12.1960312332647","103.538321176115","400","0.182680998081658","5.42268746489669","Pouthisat","Cambodia","points","1","Forest stable",5
"638","13.3709193333645","106.00487725386","103","0.0105292249151902","4.73815828893551","Stœng Trêng","Cambodia","points","1","Non Forest stable",5
"683","12.334318705198","103.756561090996","34","0.00194106681532767","5.58928351743039","Pouthisat","Cambodia","points","1","Non Forest stable",5
"484","12.8835843086179","102.784940231324","204","0.11128658201493","0.492150931608983","Batdâmbâng","Cambodia","points","1","Deforestation crops",5
"354","14.0767049196003","103.452799945516","35","0.00189538062908799","3.51680542806624","Otdar Mean Chey","Cambodia","points","1","Non Forest stable",5
"615","11.9193598545222","105.81966708754","47","0.00927552785139164","1.67334867711944","Tbong Khmum","Cambodia","points","1","Non Forest stable",5
"56","11.7524927565514","104.391561838683","87","0.00856481227238897","0.656857211623316","Kâmpóng Spœ","Cambodia","points","1","Enhancement",5
"529","13.2614375037703","103.749694882496","8","0.000705365281128788","1.37727124520771","Siemréab","Cambodia","points","1","Enhancement",5
"94","11.2839538259775","104.125324435827","136","0.0187649725241157","2.00340811302987","Kâmpóng Spœ","Cambodia","points","1","Deforestation crops",5
"333","10.7486884796681","103.743773320497","31","0.0193495167908081","4.44275691342358","Krong Preah Sihanouk","Cambodia","points","1","Degradation",5
"862","13.9526210754509","104.612695460317","69","0.00155291101061858","2.34457634300691","Preah Vihéar","Cambodia","points","1","Non Forest stable",5
"788","14.1916208809836","106.609589002543","257","0.0326697508520957","3.6187992860123","Stœng Trêng","Cambodia","points","1","Forest stable",5
"376","12.5449974164768","106.640184784968","97","0.00166307814183289","5.13248050831264","Môndól Kiri","Cambodia","points","1","Deforestation other",5
"192","12.9705885272717","104.58095905412","14","0.00117461424623872","3.77091765977656","Kâmpóng Thum","Cambodia","points","1","Non Forest stable",5
"835","12.3943918113765","107.167638711343","716","0.0194753026060998","4.31173646982776","Môndól Kiri","Cambodia","points","1","Non Forest stable",5
"528","10.9435172507166","105.258149565853","2","0.000433504323328806","1.25252257750368","Prey Vêng","Cambodia","points","1","Non Forest stable",5
"837","12.9206166348367","105.107208944236","27","0.00750273927709146","2.74427638939996","Kâmpóng Thum","Cambodia","points","1","Non Forest stable",5
"935","11.2735029407387","103.300764616264","31","0.00963765542728351","6.1112696918243","Kaôh Kong","Cambodia","points","1","Forest stable",5
"679","13.8436914297478","103.711590625375","42","0.00271693941399088","3.93837506644191","Siemréab","Cambodia","points","1","Management",5
"143","12.7823852959828","106.560398061307","120","0.00544205110542744","5.59553164845739","Môndól Kiri","Cambodia","points","1","Non Forest stable",5
"55","12.3377313535417","105.224737017656","96","0.00849087570690561","4.93796434195628","Kâmpóng Cham","Cambodia","points","1","Non Forest stable",5
"582","10.7586058025178","105.027309293701","3","0.000433264482717202","1.25234018592773","Takêv","Cambodia","points","1","Non Forest stable",5
"577","13.177571214126","106.67007391197","196","0.00782542382389981","4.85151628696719","Môndól Kiri","Cambodia","points","1","Management",5
"264","12.5277548753579","103.86685597934","21","0.000703377723183289","1.37671743393237","Pouthisat","Cambodia","points","1","Non Forest stable",5
"320","14.4506362554479","106.293942234118","188",NA,NA,"Stœng Trêng","Cambodia","points","1","Forest stable",5
"331","12.4007732872677","107.510905852878","805","0.0396523192331553","0.174769228336443","Môndól Kiri","Cambodia","points","1","Forest stable",5
"676","13.2408485284032","106.704651667668","158","0.0155090858568252","0.38422232291319","Môndól Kiri","Cambodia","points","1","Forest stable",5
"146","14.1500705259867","106.975773645946","322","0.0913052361355286","1.2167506019596","Rôtânôkiri","Cambodia","points","1","Forest stable",5
"828","12.9044929575094","107.473247431105","186","0.00379833353662375","6.28318530717959","Môndól Kiri","Cambodia","points","1","Forest stable",5
"220","13.668800526518","104.725667089246","105","0.0124124590472005","5.51803048659731","Preah Vihéar","Cambodia","points","1","Deforestation crops",5
"653","12.7275094195821","104.526693489516","8","0.000271310836438879","3.14159265358979","Kâmpóng Thum","Cambodia","points","1","Non Forest stable",5
"539","10.9551936122845","103.247729751625","8","0.00970777561404638","4.03237300104978","Kaôh Kong","Cambodia","points","1","Enhancement",5
