"id","YCoordinate","XCoordinate","elevation","slope","aspect","region","country","geometry","area","map_class","group"
"165","13.7201129189227","103.560844897269","24","0.000582043390407597","5.4866704240091","Siemréab","Cambodia","points","1","Non Forest stable",7
"252","12.4659776610426","104.631460957874","9","0.000703203116781372","4.51826128287838","Kâmpóng Chhnang","Cambodia","points","1","Non Forest stable",7
"179","14.05291701435","104.695449646326","67","0.00557236321280765","3.69251404848829","Preah Vihéar","Cambodia","points","1","Deforestation other",7
"217","14.2595019452657","103.157366131819","89","0.00464565792685126","3.02159596681226","Otdar Mean Chey","Cambodia","points","1","Non Forest stable",7
"153","10.6877970837509","103.583900277773","103","0.00838880575377454","2.5124482692284","Krong Preah Sihanouk","Cambodia","points","1","Management",7
"400","11.0069662620448","103.684675460947","13","0.00608828520178149","4.96000376987396","Kaôh Kong","Cambodia","points","1","Enhancement",7
"779","11.3801675449051","103.922682706705","368","0.0666720077062812","5.27850290323752","Kaôh Kong","Cambodia","points","1","Forest stable",7
"594","13.3747731955887","104.93144449789","107","0.0250825058361885","4.37625356212617","Preah Vihéar","Cambodia","points","1","Forest stable",7
"823","11.8969293508593","104.247266459746","181","0.0393717250562149","1.48459653869686","Kâmpóng Spœ","Cambodia","points","1","Deforestation crops",7
"903","14.3022987718039","104.961403721059","103","0.0450958837286756","4.4227763530718","Preah Vihéar","Cambodia","points","1","Forest stable",7
"587","11.8877660103977","106.094673062653","170","0.0161595917745594","5.93539465421462","Tbong Khmum","Cambodia","points","1","Non Forest stable",7
"431","14.0371400383728","104.177895239575","93","0.00596667132114561","4.135228962114","Siemréab","Cambodia","points","1","Deforestation crops",7
"313","12.0978861159535","106.849331534601","143","0.00164360965034318","3.57417826779268","Môndól Kiri","Cambodia","points","1","Non Forest stable",7
"612","13.0482027328344","105.187697295632","36","0.00506582167313764","1.86979312845232","Kâmpóng Thum","Cambodia","points","1","Non Forest stable",7
"42","13.4689798647187","102.669634570012","37","0.00208280807377743","1.63597339219221","Batdâmbâng","Cambodia","points","1","Enhancement",7
"164","13.7018765575159","103.800702370332","66","0.0064861572802201","4.21056072258496","Siemréab","Cambodia","points","1","Deforestation rubber",7
"67","12.8341364835473","105.307835107653","81","0.00149859466371408","3.2339447159973","Kâmpóng Thum","Cambodia","points","1","Forest stable",7
"492","14.0433302682899","105.638468558788","229","0.0545018657943342","2.51599293006533","Preah Vihéar","Cambodia","points","1","Forest stable",7
"846","13.2486093998789","105.992118894354","56","0.00734583081763095","3.69741562391853","Stœng Trêng","Cambodia","points","1","Forest stable",7
"830","11.217049769386","104.676234926699","29","0.00349421906472843","1.12956937503036","Kâmpóng Spœ","Cambodia","points","1","Non Forest stable",7
"317","12.5247953000348","105.624340638508","83","0.011304307051916","5.38622812650454","Kâmpóng Thum","Cambodia","points","1","Non Forest stable",7
"610","13.3482928233603","104.027073771136","18","0.00233036653966942","3.85405379633703","Siemréab","Cambodia","points","1","Non Forest stable",7
"937","13.8489361191395","103.758676942143","43","0.00146573993895997","2.75316962897669","Siemréab","Cambodia","points","1","Forest stable",7
"501","12.2664308860531","105.468657019388","41","0.0052469186416972","1.51906512635223","Kâmpóng Cham","Cambodia","points","1","Non Forest stable",7
"865","12.2024346942869","104.496090822242","36","0.00291073954729756","0.859956933705892","Kâmpóng Chhnang","Cambodia","points","1","Non Forest stable",7
"693","10.7544217767795","103.749086198053","36","0.0168341317108981","5.4234857852335","Krong Preah Sihanouk","Cambodia","points","1","Degradation",7
"526","13.1230920270164","104.703109197222","41","0.00217048333637999","3.14159265358979","Kâmpóng Thum","Cambodia","points","1","Enhancement",7
"8","11.8729121600614","106.425221248666","76","0.00566456059386288","1.96401712454744","Tbong Khmum","Cambodia","points","1","Non Forest stable",7
"515","13.1897238495168","105.017380119076","93","0.0144850210438059","4.53350979811211","Preah Vihéar","Cambodia","points","1","Deforestation rubber",7
"416","13.5605004231855","103.249275948745","11","0.000617271807083264","5.16746673531355","Bântéay Méanchey","Cambodia","points","1","Non Forest stable",7
