"id","YCoordinate","XCoordinate","elevation","slope","aspect","region","country","geometry","area","map_class","group"
"809","12.2262227836974","103.092718319758","282","0.0266877530174145","0.757283410402527","Pouthisat","Cambodia","points","1","Deforestation rubber",6
"854","14.1112041245192","106.408074120394","70","0.00201943354403983","1.84283903516419","Stœng Trêng","Cambodia","points","1","Deforestation other",6
"521","11.4203073333812","103.740159183871","28","0.00404741975576662","5.20080613774953","Kaôh Kong","Cambodia","points","1","Forest stable",6
"897","11.9291687776922","103.491931355646","738","0.115450921910505","4.72174735647506","Kaôh Kong","Cambodia","points","1","Forest stable",6
"912","12.5148162604771","105.424250713634","51","0.00368601156293205","3.02901820297625","Kâmpóng Thum","Cambodia","points","1","Deforestation crops",6
"621","11.2595043009094","103.166796696558","46","0.0227132270238058","0.672499871285424","Kaôh Kong","Cambodia","points","1","Forest stable",6
"803","12.5372953854115","102.711761314575","320","0.0524877961068291","0.460112645495871","Batdâmbâng","Cambodia","points","1","Forest stable",6
"736","11.4857963779009","104.197009053908","80","0.00193858823825927","0.692363493930446","Kâmpóng Spœ","Cambodia","points","1","Degradation",6
"925","13.12429845662","102.753501560266","43","0.000436683196338041","1.25492007250731","Batdâmbâng","Cambodia","points","1","Non Forest stable",6
"116","13.2951043029444","107.430446962661","131","0.00318333472542137","5.92779379556723","Môndól Kiri","Cambodia","points","1","Forest stable",6
"346","12.0538661853993","104.988549389494","40","0.0128958207391411","3.69255968379215","Kâmpóng Cham","Cambodia","points","1","Non Forest stable",6
"254","13.4676280735915","106.660239949401","88","0.00153017554660234","4.62361900690217","Rôtânôkiri","Cambodia","points","1","Deforestation other",6
"246","13.9284580653828","103.224434042251","44","0.00507704911515995","2.86462168221869","Bântéay Méanchey","Cambodia","points","1","Deforestation other",6
"133","12.8520960872192","104.424666299713","11","0.000429795043605836","0.327391342346458","Kâmpóng Thum","Cambodia","points","1","Forest stable",6
"293","12.2941104865491","105.397067489327","53","0.00104765025588943","4.31343347810698","Kâmpóng Cham","Cambodia","points","1","Non Forest stable",6
"506","14.2198078152705","105.010214800773","92","0.0200162756394469","3.95859285499086","Preah Vihéar","Cambodia","points","1","Non Forest stable",6
"342","11.1328686797572","104.537602221426","34","0.00249847564261993","2.74664771397489","Kâmpóng Spœ","Cambodia","points","1","Non Forest stable",6
"544","13.400495840684","105.167058591055","46","0.00404303074838035","2.79189453924129","Preah Vihéar","Cambodia","points","1","Deforestation other",6
